pdf_index,ref,title,introduction
pdf0.pdf,https://lazarinastoy.com/topic-modelling-limitations-short-text/,#L5.1 Limitations of Topic Mining,No Preview Available
pdf1.pdf,https://www.cs.uic.edu/~liub/publications/WWW-2003.pdf,#L5.1 Paper about Mining topic specific concepts and definitions on th...,No Preview Available
pdf2.pdf,https://statweb.stanford.edu/~jtaylo/courses/stats306b/restricted/notebooks/EM_algorithm.pdf,An explanation of EM algorithm with exercises#L5.2,No Preview Available
pdf3.pdf,http://www.stat.columbia.edu/~bodhi/Talks/2ComponentMixModel.pdf,two component mixture models - explained,No Preview Available
pdf4.pdf,https://cyfs.unl.edu/cyfsprojects/videoPPT/84329ab252efffb78f4daf28ecbf6274/110121-Kupzyk.pdf,mixture models overview- explained better,No Preview Available
pdf5.pdf,https://monkeylearn.com/blog/introduction-to-topic-modeling/,An explanation of topic modeling #L5.1,No Preview Available
pdf6.pdf,https://www.youtube.com/watch?v=hN7kzmsSRAQ,#L5.2: EM algorithm for missing data,No Preview Available
pdf7.pdf,https://arxiv.org/abs/2203.10256,An interesting paper about dependency mixture LM #L5.1,"In this paper, we introduce the Dependency-based Mixture Language Models"
pdf8.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,Expectation Maximization Algorithm #L5.2,No Preview Available
pdf9.pdf,https://www.sciencedirect.com/science/article/pii/S0020025518302366,A Generative Model for Category Text Generation #L5.1,No Preview Available
pdf10.pdf,https://en.wikipedia.org/wiki/Expectation–maximization_algorithm,Wiki of EM algorithm #L5.2,No Preview Available
pdf11.pdf,https://text-machine-lab.github.io/blog/2020/generative-models/,Expansion on types of generative models #L5.1,No Preview Available
pdf12.pdf,https://link.springer.com/content/pdf/10.1023/A:1007692713085.pdf,#L5.2 Original paper of mixture of unigram model,Text Classification from Labeled and Unlabeled Documents using EM
pdf13.pdf,https://probmods.org/chapters/mixture-models.html,This explains about the mixture models described in lecture #L5.2,Mixture models
pdf14.pdf,https://www.analyticsvidhya.com/blog/2021/06/part-17-step-by-step-guide-to-master-nlp-topic-modelling-using-plsa/,#6.2 Part 17: Step by Step Guide to Master NLP – Topic Modelling using...,Step by Step Guide to Master NLP – Topic Modelling using pLSA
pdf15.pdf,http://www.hcbravo.org/dscert-algo/homeworks/topic_modeling.html,#6.1 Probabilistic Latent Semantic Analysis with the EM Algorithm,Probabilistic Latent Semantic Analysis with the EM Algorithm
pdf16.pdf,https://www.tidytextmining.com/topicmodeling.html,This describes about topic mining mentioned in the lecture #L5.1,Topic modeling
pdf17.pdf,https://amit02093.medium.com/understanding-generative-modelling-lda-and-bayesian-networks-8b3bc09d06a6,Some intro to generative modelling #L5.1,No Preview Available
pdf18.pdf,https://towardsdatascience.com/a-guide-to-collaborative-topic-modeling-recommender-systems-49fd576cc871,Just an extension to #L5.2,No Preview Available
pdf19.pdf,https://www.researchgate.net/figure/The-mixture-of-unigrams-model-shown-as-a-directed-graphical-model-using-plate-notation_fig3_242385158,#L5.2: Mixture of Unigram Models implemented as a graphical model,No Preview Available
pdf20.pdf,https://arxiv.org/pdf/1204.5488.pdf,a statistical method for estimating the mixing proportion and unknown...,Estimatiom of a two-component mixture model withapplications to multiple testing
pdf21.pdf,https://www.analyticsvidhya.com/blog/2021/06/part-17-step-by-step-guide-to-master-nlp-topic-modelling-using-plsa/,A tutorial of PLSA with advantages/disadvantages listed #5.2,No Preview Available
pdf22.pdf,https://github.com/yedivanseven/PLSA,Python library of implementation of PLSA #5.2,No Preview Available
pdf23.pdf,https://en.wikipedia.org/wiki/Generative_model,An introduction of Generative modebl By wikipedia #L5.1,Generative model
pdf24.pdf,https://medium.com/nanonets/topic-modeling-with-lsa-psla-lda-and-lda2vec-555ff65b0b05,Goes into detail about different ways of topic modeling #L5.1,No Preview Available
pdf25.pdf,https://monkeylearn.com/topic-analysis/,Application of Topic Mining: Topic Analysis #5.1,No Preview Available
